Move,History (PGN),Commentary,Eval Before,Eval After,Delta,Top K Best Moves
Nc3,e4 c5 Bc4 e6,He prevents d5 for the moment.,-9,28,37.0,"a7a6, a2a4, g8f6"
h6,d4 Nf6 c4 g6 f3 Bg7 e4 d6 Nc3 O-O Bd3 Nbd7 Nh3 e5 d5 a5 Nf2 b6 Qc2 Nc5 Bg5 Bd7 g4 Qc8 h4 Kh8 h5 gxh5 Bxf6 Bxf6 Rxh5 Bg7 Nh1 f6 Qh2,Giving up any hope for his fianchettoed Bishop except in a role of abject defense.,-218,242,460.0,"d3c2, h8g8, h1g3"
Bg5,e4 c6 d4 d6 c4 Nd7 Nc3 Ngf6 Nf3 h5 Be2 e5 dxe5 Nxe5 Nxe5 dxe5 Qxd8+ Kxd8,"I was feeling a bit adventurous; normally I would go with the more solid 10. Be3. Black can still more or less force an exchange, but after 10... Ng4 11. Bxg4, White keeps the dark-squared bishop instead.",-12,34,46.0,f8c5
Nh5,e4 e5 Nc3 Nf6 Bc4 Bc5 d3 d6 Qf3 Bg4 Qg3,Knight,-51,593,644.0,"g3g4, g7g6, c1g5"
Kf3,d4 c5 c3 d5 Nf3 Bf5 Bf4 Nc6 e3 e6 Bd3 Bxd3 Qxd3 c4 Qd1 Qb6 Nbd2 Qxb2 Qc1 Ba3 Qxb2 Bxb2 Rb1 Bxc3 O-O b6 Rfc1 Bxd2 Nxd2 Nge7 Bg5 f6 Bf4 O-O Bd6 e5 Bxe7 Nxe7 f4 Nf5 Rce1 exd4 exd4 Nxd4 Nf3 Nxf3+ gxf3 g5 f5 Rae8 Rxe8 Rxe8 Kf1 Re5 Re1 Rxf5 Re8+ Kf7 Ra8 Rxf3+ Kg2 Ra3 Kg1 Rxa2 Rb8 Kg6 Rg8+ Kf5 Rh8 Kg4 Rxh7,"Threatening mate, so white resigns.",989,-715,-1704.0,"h7h3, f3e4, g1f1"
Kg8,Nf3 d5 d4 e6 c4 c5 cxd5 exd5 Bg5 Be7 Bxe7 Nxe7 e3 O-O dxc5 Qa5+ Nc3 Qxc5 Qa4 Bd7 Bb5 Bxb5 Nxb5 a6 Nc3 Nbc6 O-O b5 Qh4 Ng6 Qh5 Rad8 Rad1 Nce7 Rd2 h6 Rfd1 Rd7 g3 Rfd8 e4 b4 Nxd5 Nxd5 exd5 Ne7 Ne5 Rd7xd5 Rd2xd5 Rxd5 Qxf7+ Kh7 Rxd5 Nxd5 Qg6+ Kg8 Qxa6 Qc1+ Kg2 Ne3+ Kh3 Nd1 Qe6+ Kh7 Qf5+,,-417,417,834.0,"e5g6, c1c7, f5d5"
Kxe5,e4 e5 Nf3 Nc6 Bc4 d6 d4 Bg4 c3 exd4 cxd4 Qf6 Bb5 Bxf3 gxf3 a6 Bxc6+ bxc6 Nc3 Ne7 Be3 Rb8 Qe2 Ra8 Rg1 Ng6 O-O-O Nf4 Qc4 Kd7 e5 Qe6 d5 Nxd5 Nxd5 cxd5 Rxd5 c6 Qb4 Qxd5 Qb7+ Ke6 Qxa8,"Would 22. .., Qxa2 be better?",-258,454,712.0,"a8e8, e5f6, e3g5"
b6,d4 Nf6 c4 g6 Nc3 Bg7 e4 d6 Nf3 O-O Be2 Na6 O-O e5 Re1 Bg4 Be3 Re8 d5 Nc5 h3 Bxf3 Bxf3 a5 Qc2 Nfd7 b3 f5 a3 a4 Nxa4 Nxa4 bxa4 fxe4 Bxe4,Trying again to play for the dark squares.,-94,78,172.0,"f2f3, d8h4, e3f2"
O-O,Nc3 d5 d4 e6 Bf4 Nf6 e3 Bb4 Bd3 c5 Nf3 c4 Be2 Ne4,"By castling he removes the pinning, but the Knight is still attacked 2 times and defended only 1. Hence, advantage for me.",-158,160,318.0,"e4c3, b2c3, b4c3"
a3,d4 d5 Nc3 Nf6 e3 e6 h3 Nc6,Pretty typical opening so far. I've personally never been a fan of moving out the a or h row pawns like this.,-2,26,28.0,e6e5
f5,e4 e5 Nf3 d5 Nc3 dxe4 Nxe4,pawn and thwarting my knight,-17,23,40.0,"e4g3, e5e4"
Qg4,d4 Nf6 c4 e6 a3 c5 e3 d5 Nf3 cxd4 Nxd4 Nc6 cxd5 exd5 Bb5 Bd7 Nc3 Bd6 Nf3 O-O Nxd5 Nxd5 Qxd5 Bh3 Bxc6 bxc6 Qd1 Bxg2 Rg1 Bxf3 Qxf3 Be5,?? White needs to get his forces out and fast. Better was 17. Bd2 Qb6 18. Rc1 and white has given the best chance to survive.,-174,237,411.0,"a8b8, e1f1, f8e8"
dxe5,e4 e6 e5 d5 d4 c5 Bb5+ Nc6 Bxc6+ bxc6 Nf3 h6 c3 Be7 Be3 c4 Qa4 Bd7 O-O Qc7 b4 Bd8 h4 Ne7 Qd1 Nf5 g3 g5 h5 g4 Nfd2 f6 Bf4 Rg8 a4 Be7 exf6 Bd6 Bxd6 Qxd6 Kg2 Rf8 Qxg4 O-O-O Nf3 Rfg8 Qh3 Rdf8 Nbd2 Rxf6 Rfe1 Nh4+ Nxh4 e5 Qh1 Rg4,White's pawn at d4 captures on e5 and is forking the queen and rook.,674,-693,-1367.0,"f6f2, g2f2, d6e7"
Nf3,e4 c5,This is the main line.,16,-27,-43.0,"b8c6, d2d4"
fxg5,Nf3 d6 d4 Nf6 c4 g6 Nc3 Bg7 e4 O-O Be2 Bg4 Be3 Nbd7 O-O Bxf3 Bxf3 e5 d5 a6 b4 b6 a4 h5 Qd2 Kh7 Be2 Ng8 f4 f5 exf5 Rxf5 Ne4 Ndf6 Ng5+ Rxg5,7 points analysis : 1. Immediate threats : the black knight on f6 (Black's DSB is menacing the a1 rook but not immediately). 2. Material : advantage white 3. Center : contested. 4. Open file : the f one - under white's control. 5. Pawn structures : The white one isn't very good (unsupported pawn on g5) 6. safety of the kings : the white one is weakened by the attack but the black one is worse 7. general organisation : all the pieces are protected - white has plenty of material aiming at the black king.,414,-413,-827.0,"f6g4, e2g4, h5g4"
Nf3,e4 e6 d4 d5 e5 c5,...Which he defends with the knight. Standard is 4. c3,30,16,-14.0,"c5d4, d1d4, g8e7"
exf7,d4 d5 c4 dxc4 Nf3 h6 e3 Be6 Nc3 Nf6 e4 Nh7 d5 Bg4 Bxc4 a6 h3 Bh5 Qa4+ Qd7 Qb4 Qc8 g4 Bg6 Ne5 e6 Qa4+ Kd8 dxe6 Nf6,Qd1+ was the most accurate continuation.,640,-502,-1142.0,"g6h7, g4g5, h6g5"
O-O-O,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 Nc6 Bg5 e6 Qd2 a6,Castles,36,-43,-79.0,"f8e7, f2f4"
Nf4,f4 e5 fxe5 d6 exd6 Bxd6 Nf3 g5 g3 Nc6 Bg2 g4 Nh4 Nge7 b3 Ng6 Bxc6+ bxc6 Ng2 Be5 Nc3 h5 Bb2 h4 e3 hxg3 Qe2 Qe7 O-O-O gxh2 d4 Bd6 e4,{Shredder prefers f6 here but this felt more forcing?},155,-110,-265.0,"e2f1, f4g2"
Nf6,e4 e6 d4 d5 Nc3 dxe4 Nxe4 Nc6 Nf3,Knight trade?,-86,110,196.0,"f1d3, h7h6, e1g1"
Nb5,e4 e6 d4 d5 e5 c5 c3 Nc6 Nf3 Qb6 Bd3 Bd7 O-O cxd4 cxd4 Nxd4 Nxd4 Qxd4 Nc3 Qxe5 Qf3 Qd6,! can not take the night because of Biship to B5 Check,-138,146,284.0,"d6b6, c1e3, b6a5"
Bxe4,e4 e5 Nc3 c6 d4 exd4 Qxd4 Qe7 Nf3 d5 Bd3 Bf5 O-O dxe4 Bxe4,"This was the first blunder (+6.6 vs 3.1) of the game, though SF rates it as only 0.72 worse than the best move and is the second best move to make.",-280,545,825.0,"c3e4, e7d7, d4e5"
Qe8+,e4 e5 f4 exf4 Nf3 g5 Bc4 g4 O-O gxf3 Qxf3 Qf6 e5 Qxe5 Bxf7+ Kxf7 d4 Qxd4+ Be3 Qf6 Bxf4 d6 Qh5+ Ke6,"Re1 would have been much stronger. Either you could have gotten a free queen or mated in 2 (if 13 Re1_ Kd7, 14. Qe8#).",997,-545,-1542.0,"f6e7, e8c8, b8d7"
Qg6,c4 e6 d4 f5 g3 Nf6 Bg2 Be7 Nf3 O-O O-O d6 Nbd2 a5 b3 Qe8 Re1 Nc6 Bb2,Minacciando di spingere in f4 aprendo strade verso il Re nemico.,-40,33,73.0,"e2e3, f6e4"
a4,e4 e5 f4 exf4 Nf3 Bc5 d4 Bb6 Bxf4 d6 Bd3 Bg4 c3 Bxf3 Qxf3 Nc6 O-O Qd7 Nd2 O-O-O Nc4 Nge7 e5 dxe5 Bxe5 f6 Bg3 Kb8,"White gets greedy. She is trying to get my bishop for the bargain basement price of one pawn. Here I realize my bishop is trapped, almost. In desperation to save the bishop I stumble on the tactic that I could have set in motion 3 moves back.",290,148,-142.0,"b6d4, g1h1, d4c3"
Nc6,e4 c5 Nf3 e6 d4 cxd4 Nxd4 a6 Bd3 Nf6 O-O h6 e5 Nd5 Re1,"8....Nc6 is probably best but not much to choose between that and 8....Nb4 or 8....Qb6 if 8....Nb4 then 9.Bf1 N4c6, 10.Bf4 and white retains a small advantage if 8....Qb6 then 9.Nf3 d6, 10.Be4 and white retains a small advantage",-150,171,321.0,"d4c6, d7c6, b1d2"
Nf6,c4,Just as white hold his plan close to his chest so do I.,-18,26,44.0,"d2d4, e7e6"
e3,b4 e5,Pawn,-40,147,187.0,"f8b4, c1b2, d7d6"
Rxe6,d4 f5 c4 g6 Nc3 Nh6 e4 fxe4 Nxe4 Bg7 Nf3 c6 Bd3 d5 cxd5 cxd5 Bb5+ Nc6 Bxc6+ bxc6 Nc5 O-O O-O Rb8 Re1 Bg4 Ne6 Bxe6,"But here Isoaurd has a cunning plan. An exchange sacrifice for a Maroczy Bind with a knight on top. [%csl Ge5,Gc5,Yh6,Yd4][%cal Ge7e5,Gc6c5,Re5d4,Rc5d4,Gf5d4,Gf8f3,Gh6f5]",38,-46,-84.0,"f8f3, d1f3"
Qe7,e4 e5 Nf3 Nf6 d3 Nc6 Nc3 Nb4 a3 Na6 Be3 b5 b4 Bb7 Be2,Queen,-201,278,479.0,"e1g1, c7c6"
Be8,e4 e5 Nf3 Nc6 Bb5 g6 d4 exd4 O-O Bg7 c3 dxc3 Nxc3 d6 Qb3 Bd7 Bc4 Qe7 Nd5 Qd8 Bg5 Qc8 Rfe1 Ne5 Nxe5 Bxe5 f4 Bg7 e5 Nh6 exd6+ Kf8 Be7+ Kg8 Nxc7 Rb8 Bg5 Qf8 Re7,Black defends against Bxf7+.,-643,845,1488.0,"g5h6, g7h6, c7e8"
Nc6,Nf3,"I expected Nf6 or d5, but this move is new. Wouldn’t recommend it.",-22,53,75.0,"d2d4, d7d5"
f5,e4 e5 Nf3 Nc6 Bc4 Bc5 d3 Nf6 Be3 Bxe3 fxe3 O-O Nc3 d6 h3 Na5 g4 Nxc4 dxc4 c6 b3 Qa5 Qd3 Be6 O-O Nd7 a4 Qd8 b4 Qe7 a5 g6 Kh2 c5 b5 Nf6 Ng5 Nxg4+ hxg4 Qxg5 Ne2 Bxg4 Qd2 Qh4+ Kg1 Bxe2 Qxe2 Qxe4 Rf2 b6 a6,Finally!,419,-415,-834.0,"a1d1, a8d8, e2d3"
Qg5,e4 e5 Nf3 Nc6 a3 Nf6 d3 Ng4 h3 Nxf2 Kxf2 Bc5+ Ke2 Nd4+ Nxd4 exd4 Qd2 O-O Kd1 Qh4,"A good move, my mistake for not calculating correctly.",389,-401,-790.0,"h4g5, c1g5, b7b6"
Qh4+,b4 e5 Bb2 Bxb4 f4 exf4 Bxg7,only way to save the rook,-32,47,79.0,"g2g3, f4g3"
a6,e4 d6 d4 e6 Nf3 h6 Bd3,And this also seems unnecessary and doesn't develop!,-113,113,226.0,"c2c4, g7g5, b1c3"
g3,e4 c6 Nf3 d5 exd5 cxd5 d4 Nf6 Nc3 Bg4 Bb5+ Nbd7 h3 Bxf3 Qxf3 e6 O-O Be7 Re1 O-O Bg5 a6 Ba4 b5 Bb3 h6 Bh4 Rb8 a3 a5 Bg3 Rb7 Rad1 b4 axb4 axb4 Na4 Ne4 Rxe4 dxe4 Qxe4 Rb5 Qc6 Rf5 d5 Ne5 Bxe5 Rxe5 d6 Bxd6 Rxd6 Re1+ Kh2 Qf6 Qf3 Qe5+ Qg3 Qe2 Qf3 Qf1 Rd4 Qb5 c4 bxc3,"This was no spite check. I finally have a chance. The induced pawn weakness allows my queen to penetrate, this time, with much better chances, because his queen is busy elsewhere.",83,390,307.0,"b5b3, b2c3, b3b5"
Nd4,e4 e5 Bc4 Nc6 Nf3 f6 d3,Knight,-96,245,341.0,"f3d4, e5d4, c2c3"
Nxd2,e4 e5 Nf3 Nf6 Nxe5 d6 Nf3 Nxe4 d4 d5 Bd3 Bd6 c4 c6 O-O O-O Nc3 Nxc3 bxc3 dxc4 Bxc4 Bg4 h3 Bh5 g4 Bg6 Bg5 Qc7 Re1 h6 Bd2 Nd7 Qe2 Rae8 Qxe8 Rxe8 Rxe8+ Kh7 g5 Bf4 gxh6 Bxd2,"hier had ik al eerder gxh7 moeten spelen, dat klopt. Maar zwart vergat gxh6 te spelen. Hij dacht met Df4 het probleem op te lossen. Hier win ik alsnog een pion.",-24,53,77.0,d7f6
Qg7+,e4 g6 d4 Bg7 Nf3 d6 b3 c6 Nc3 c5 d5 Bxc3+ Bd2 Bxa1 Qxa1 Bd7 Qxh8 e6 Qxg8+ Ke7 Bg5+ f6,12.Qg7+ come on ... Queen also checks,Mate,Mate,,"e7e8, g7h8, e8f7"
Qc2,c4 f5 Nc3 Nf6 d4 d6 Nf3 g6 g3 Bg7 Bg2 c6 O-O O-O,"Also playable with similar chances is 8. Qb3 when 8...Na6 9. Bg5 Qe8 and play is similar to the game. So it is debatable as to which is the best square to develop the Queen. In the end, I choose the most flexible and pragmatic move.",48,-44,-92.0,b8a6
Nf6,e4 c5 Nc3 e6 f4 d5 Nf3 Nc6 Bb5 d4 Bxc6+ bxc6 Ne2,Attacking the pawn on e4,-16,66,82.0,"d2d3, c5c4, e2d4"
Qxc2,d4 a5 e3 d5 Nf3 f6 Nc3 c6 Bd3 Nh6 Bd2 e6 O-O Qb6 Na4 Qc7 e4 Bd6 exd5 Ng4 g3 O-O dxe6 Bxe6 Nc5 Bxc5 dxc5 Nd7 Nd4 Bd5 Qxg4 Ne5 Qf4 Qf7 Be4 Bc4 Rfe1 Rad8 Nf5 g6 Nd6 Rxd6 cxd6 Qd7 Bxa5 Qxd6 b3 Be6 Rad1 Qa3 Bc3 Qc5 Bd3 Qxc3 Re3 f5 Bc4,I guess black was trying to take something in compensation for the bishop? Except now the knight is even more unprotected...,-723,718,1441.0,"c4e6, e5f7, f4d4"
Nc3,f4 f5 Nf3 Nf6 Ng5 h6 Nh3 g6 g4 fxg4 Nf2 Bg7 Bg2 O-O O-O d5 d4 Nc6,Knight,-108,222,330.0,"c8f5, e2e3, e7e6"
e6+,e4 e5 Nf3 d6 Bc4 h6 Nc3 c6 d4 b5 Bxf7+ Kxf7 dxe5 Bg4,Drawing the king out into the field of combat. It would be a mistake for black to take this pawn as black’s white bishop would fall prey to the queen.,173,83,-90.0,f7e8
d4,,Queen pawn opening.,,-22,,"g8f6, c2c4"
Bd2,d4 b6 c4 Bb7 Nc3 e6 a3 Nf6 d5 d6 Nf3 Be7 g3 O-O Bg2 Nbd7 O-O Nc5 Nd4 Qd7 b4 e5 bxc5 bxc5 Nc6 Bxc6 dxc6 Qg4 Nd5 Nxd5 Bxd5 Kh8 e4 Qh3 Qf3 Bf6 Rb1 Qc8 Rb7 Kg8,"In hindsight, my queenside play did not achieve much. Perhaps, Kg2 with Rook-h1 and h2-h4-6 would have been a better attack.",649,-664,-1313.0,"f6d8, f1b1, c8h3"
Qg4,e4 e6 d4 d5 exd5 exd5 Nf3 Nc6 Bb5 Bd6 c4 dxc4 d5 a6 Ba4 b5 dxc6 bxa4 O-O Ne7 Nbd2 Be6 Qxa4 c3 Ne4 O-O Nxc3 Qb8 Nd4 Nd5 Nxd5 Bxd5 Nf5 Qb6,"With an obvious mate threat. However, it is a surprisingly difficult threat to meet. 18... Be5 loses to 19.Ne7+ followed by 20. Nxd5, which only leaves 18...g6. I originally thought this was the decisive mistake played by Black, but it is the only chance for him to put up any kind of resistance.",317,-312,-629.0,"g7g6, f5d6, f7f5"
Bxc6,d4 c5 Nf3 d5 c4 Nf6 g3 dxc4 Bg2 Nc6 e3 Bf5 O-O e6 Ne5 Be4 Nxc6,Black takes back.,-14,14,28.0,g2c6
d3,e4 e6 Bc4 c5 Nf3 Nc6 O-O d5 exd5 exd5 Bb5 Bd6 Ba4 Nf6 h3 O-O c3 Bf5 Bc2 Bd7 Bd3 c4 Be2 Re8 Ng5 h6 Nf3 Bb8,Preparing DSB development (finally!),-175,247,422.0,"d8c8, f1e1, d7h3"
Nd3,e4 c6 d4 d5 Nd2 dxe4 Nxe4 Nd7 Bc4 Ngf6 Ng3 Nb6 Bb3 Bg4 Nf3 e6 c3 Qc7 h3 Bxf3 Qxf3 Bd6 Bg5 Nbd7 O-O h6 Bd2 O-O Rae1 Rfe8 Re2 c5 dxc5 Bxc5 Rfe1 Qb6 Ne4 Nxe4 Re2xe4 Nf6 Re4e2 Rad8 Bxh6 Bf8 Bg5 Be7 Ba4 Nd7 Be3 Qa6 Bb3 Bf6 Rd2 Ne5 Qg3 Rxd2 Bxd2 Rd8 Bc1,Time: 6 mins. 10s.,-107,164,271.0,"c1g5, f6g5, g3g5"
Bxf6,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 Nc6 Bg5 e6 Qd2 a6 O-O-O Bd7 f4 b5,He takes.,51,-65,-116.0,"g7f6, c1b1"
e3,Nc3 e5,Pawn,26,26,0.0,"d7d5, d1h5, g8f6"
O-O,d4 Nf6 c4 c5 d5 e6 Nc3 exd5 cxd5 d6 Nf3 g6 Bf4 Bg7 Qa4+ Bd7 Qb3 Bc8 Qb5+ Ke7 a4 Re8 e3 Kf8 Bd3 Nh5 Bg5 Qc7,"I spent a great deal of time on the last 5 moves. On move 12 I thought of Nd2 with the idea of e4 in one move but saw my bishop can get attacked. 12. Qb3, a5, or h3 came to mind. Even on move 15 I thought of Qb3/a5. 40 min. remaining.",20,-1,-21.0,h7h6
Nf1,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O Be7 Re1 d6 c3 Bg4 d3 O-O h3 Bh5 Nbd2 b5 Bb3 Na5 Bc2 c5 Nf1 Nd7 Ng3 Bg6,"At this point my theory memory ran out - 15. Be3 followed by 15. d4 are the only multiple precedents - also both 15 Nd2 and 15 a4 have each been played on one occasion I didn't remember any of that In fact, I don't think I could remember anything- I wrote to my opponent ""I used to be indecisive but now I'm not so sure.... Is there such a thing as self-Zugzwang? My pieces look worse if I move them so I'm going to put them back where they came from - if I were a footy ref this is where the crowd would be chanting 'you don't know what you're doing'...."" - so basically, I decided that the Knight that had just come from f1 could go back there because I wanted it on e3.... - strangely, nobody's ever done this before...... Bizarrely, after this white was still ~+0.65 average on GE",46,-36,-82.0,"h7h6, g2g4, d7f6"
e3,,"E3 signals of course the follow up of d4, so as my opponent is taking the center, I feel like a must to do the same.",,-19,,"d7d5, d2d4, e7e6"
Nc6,d4 e5 dxe5,"The hope here is that white protects with Nf3. After Qe7 (also not the best move early in the game), the trap can start to be set if white defends again with Bf4.",-146,136,282.0,"g1f3, d7d5, c1f4"
Nc3,e4 c5 Nf3 d6 c3 Nf6 Be2 Nc6 d4 cxd4 cxd4 Nxe4 d5 Qa5+,After 8... Nxc3 9. bxc3 White is not afraid of 9... Qxc3+ 10. Bd2 with two Black pieces hanging. An old book recommends 9... Ne5 10. Nxe5 Qxc3+ 11. Bd2 Qxe5 12. O-O with a slight advantage to White.,64,-70,-134.0,e4c3
Qxg7,e4 e6 d4 d5 Nc3 Bb4 e5 Ne7 Qg4 c5,So I took - I found out afterwards that this does not score well on the opening databases.,4,90,86.0,"h8g8, g7h6"
f5,d4,"[%cal Gh2h3,Gd7d6,Bc8f5]",-19,66,85.0,c1g5
d4,e4 c6 Qf3 e6 Nh3 d6 Bc4 d5 exd5 exd5 Bb3 Nf6 d3 Be7 Nf4 O-O h3 Re8 O-O Nbd7,"My opponent wisely restricts my d7 knight from moving to e5, but they are forced to relinquish the e4 square instead. Which temporarily gives me an outpost. I figure my knight there would be challenged, but my other knight is a team player and will jumpe to its defense.",-70,64,134.0,"a7a5, a2a4, e7d6"
Qe2,e4 e5 d4 Nc6 c3 d6 Bb5 a6 Bxc6+ bxc6 a4 Nf6 Bg5 h6 Bxf6 gxf6 h4 Rg8 g3 f5 exf5 Bxf5 Nd2 Qe7 d5 cxd5 a5 Rb8 b3 e4,Attacks a6.,-269,318,587.0,"e8d7, e2e3, h6h5"
h3,e4 c6 c4 d5 exd5 cxd5 cxd5 Qxd5 Nc3 Qd8 d4 Nf6 Nf3 Bg4,Putting the question to the bishop.,114,-121,-235.0,g4d7
e6,e4 c5 Bc4,"By the way, this game was played through e-mail, at the fully automated e-mail chess site E4EC. I started playing a little a year ago by e-mail because I wanted training for my ICCF correspondence chess tournaments! Have continued to do so, of course it´s easier to play on a server, but it´s kinda fun with e-mail too.",11,-12,-23.0,"g1f3, g8f6, d1e2"
Bc4,e4 e5 Nf3 Nf6 Nxe5 Nxe4 d3 d6 dxe4 dxe5,preparing 7. O-O,29,-7,-36.0,"d8d1, e1d1, f8c5"
Ne6,e4 d6 d4 e6 Nf3 h6 Bd3 a6 c4 Nd7 Nc3 Ne7 O-O Ng6 Qc2 e5 Be3 Be7 Nd5 Bf6 Nxf6+ gxf6 Qd2 h5 h3 Ndf8 dxe5 fxe5 Bg5 f6 Bh6,His knight is now headed for f5 and there is nothing I can do.,-8,-4,4.0,"h6e3, d8d7"
Nf6,e4 e5 Nc3 Na6 Nf3,Same,-172,200,372.0,"f3e5, f8b4, e5f3"
b6,e4 c5 Nf3 d6 Bc4 Bg4 O-O Nf6 Nc3 g6 Re1 Bg7 Nd5 O-O c3 Nc6 d4 cxd4 Nxf6+ Bxf6 cxd4 Nxd4 Be3 Nxf3+ gxf3 Bh3 Qb3,,219,-155,-374.0,"e3h6, f6g7, h6g7"
Bxd4,e4 e6 Nf3 d5 exd5 exd5 d4 Nf6 h3 c5 Bb5+ Nc6 Bxc6+ bxc6 Ne5 Qc7 O-O Bd6 Nf3 O-O dxc5 Bxc5 Nd4 Re8 Be3 Bxh3 gxh3 Rxe3 fxe3 Qg3+ Kh1 Qxh3+ Kg1 Qxe3+ Rf2,,857,-861,-1718.0,"d1d2, e3g3, g1f1"
h4,e4 e5 f3 Nc6 g4 g5,Likes. To move pawns,-63,119,182.0,"g5h4, b1c3"
Qh4,e4 e5 Nf3 Nc6 Bb5 Nf6 O-O Nxe4 Re1 Nd6 Nxe5 Be7 Bf1 Nxe5 Rxe5 O-O Bd3 b6 Na3 Bb7 Qh5 g6 Qh6 f5 Qf4 Bg5 Qg3 Bh4 Qh3 Nf7 Re2 Ng5 Qe3 f4 Qe7 Nf3+ gxf3 Bxe7 Bc4+ Kg7 Nb5 Bd6 Kf1 Bxf3 Re1,mate is not in sight. Good game by Chessikin.,1182,-966,-2148.0,"e1e6, h4g5, b5d6"
cxd4,e4 c5 c3 Nf6 e5 Nd5 d4 cxd4,He takes back,1,0,-1.0,"d7d6, g1f3, b8c6"
Qc7,e4 d5 exd5 Qxd5 Nc3 Qd6 d4 Nf6 Nf3 c6 Ne5 Nbd7 f4,"This, I think, is off book. Part of the reason I chose it--time to explore new frontiers.",-79,103,182.0,"c1d2, g7g6, f1c4"
Qxb5,d4 d5 Bg5 h6 Bh4 g5 Bg3 Bg7 e3 Nf6 c4 c6 h3 O-O Bd3 dxc4 Bxc4 b5 Bb3 a5 a3 a4 Ba2 Bf5 Qf3 Be4 Qe2 Bxg2 Rh2 Be4 Nc3 Bg6 Qf3 Qd7 Nxb5 Be4 Qe2 cxb5 h4 Qg4,"My opponent wisely declines the trade and takes aother poor pawn in the process. And honestly, I don't have a great plan just now, which is in itself alarming.",-342,431,773.0,"b8d7, h4g5, h6g5"
Nf3,e4 c6 d4 d6 c4 Nd7 Nc3 Ngf6,"Since Black isn't going to challenge the centre straight away, White's priority is to get all the pieces out, castle, and then open lines for attack.",80,-74,-154.0,"e7e5, d4d5"
h3,e4 e5 Nf3 Nc6 Nc3 Bc5 Nxe5 Nxe5 d4 Bd6 dxe5 Bxe5 Bc4 Bxc3+ bxc3 Ne7 Qh5 Ng6 O-O d6 Bg5 Qd7,To prevent 12... Q - Kt 5 forcing the exchange of Queens.,44,-30,-74.0,e8g8
Be3,e4 c6 Nc3 d5 d4 dxe4 Nxe4 Nf6 Nxf6+ exf6 Ne2 Bd6 g3 Bg4,"I really thought the whole point here was to get the bishop to f4 instead, the outpost is ready for it, supported by the knight and now pawn. But I guess, if I decided to castle queenside, which enough Cao players do, it would be pointing there, at my king, making his protection vulnerable.",16,55,39.0,"g4f3, h1g1"
Rd3,e4 c6 d4 d6 c4 Nd7 Nc3 Ngf6 Nf3 h5 Be2 e5 dxe5 Nxe5 Nxe5 dxe5 Qxd8+ Kxd8 Bg5 Bc5 Bxf6+ gxf6 f3 Kc7 O-O-O Rg8 g3 a5 f4 Be3+ Kb1 h4 fxe5 hxg3 hxg3 fxe5 Rhf1 Be6 Rf3 Bd4 Bd3 Rg4 Ne2 Rh8 Nxd4 exd4 b3 Rh2 Bc2 Rg2 Rxd4 Rg2xg3 Rxg3 Rxg3,"Offering the exchange of rooks is a concession that the position looks extremely drawish now. Black, however, decides to avoid the exchange.",-23,286,309.0,"g3d3, c2d3, c7d6"
Bf5,e4 c6 d4 d5 e5,Black develops his bishop. The most commonly played move.,-40,40,80.0,"b1d2, e7e6, d2b3"
Nd5,e4 d5 exd5 Qxd5 Nc3 Qf5 Nf3 Qe6+ Be2 Nc6 O-O h6 d4 Nb4 d5 Qf5 Nd4 Qd7 Nb3 Na6 Bb5 c6 dxc6 bxc6 Qxd7+ Bxd7 Bxa6 Bc8 Bc4 Nf6 Bf4 g5 Bc7 Be6 Bxe6 fxe6 Nc5 Rg8 Rfe1 Rc8 Be5 Ng4 Bg3 Nf6 Nxe6 Kf7 Rad1 a6 Na4 Re8 Nac5,"Ironically, now it occured to me that maybe my only remaining piece, the bishop was actually, doing something, protecting the king indirectly from the rook attack. I am not truly sure the attack could have worked anyway, but I found this empty reassurance in the fact that the bishop may be doing something. Though I figured I might have to trade it for the pesky knight if it ventures too closely to the king.",-685,697,1382.0,"c5d3, h6h5, c2c4"
Nh4,e4 e5 Nf3 Nf6 Nc3 Nc6 d4 exd4 Nd5 Nb4 Nxf6+ Qxf6 a3 Nc6 Bb5 Bc5 O-O O-O Bg5 Qg6 Qd2 d6,"Another aggressive move, designed to make me consider increasingly poor escape paths. 12... Qh5 is not a good option due to 13. Be2! If I choose to take the pawn with 12... Qxe4, 13. Rfe1 is also less than ideal, forcing a series of queen moves while giving White free development. The pawn is not worth it at this point. Instead, I chose a sensible redeployment...",-92,138,230.0,"g6h5, b5e2, c8g4"
a6,e4 d5 exd5 Qxd5 Nc3 Qf5 Nf3 Qe6+ Be2 Nc6 O-O h6 d4 Nb4 d5 Qf5 Nd4 Qd7 Nb3 Na6 Bb5 c6 dxc6 bxc6 Qxd7+ Bxd7 Bxa6 Bc8 Bc4 Nf6 Bf4 g5 Bc7 Be6 Bxe6 fxe6 Nc5 Rg8 Rfe1 Rc8 Be5 Ng4 Bg3 Nf6 Nxe6 Kf7 Rad1,"I was not entirely happy with the black knight being able to get my remaining bishop, but did not find any elegant ways to prevent it in time, so just went with my developing plans.",-623,668,1291.0,"e6d8, f7e8, d8e6"
